time	level
1976
	1	0.0955
	2	0.1275
	3	0.167
	4	0.177
	5	0.199
	6	0.236
	7	0.2895
	8	0.112
	9	0.189
	10	0.119
	11	0.101
	12	0.11
1977
	1	0.139
	2	0.136
	3	0.108
	4	0.07
	5	0.073
	6	0.102
	7	0.215
	8	0.311
	9	0.315
	10	0.28500000000000003
	11	0.187
	12	0.139
1978
	1	0.0955
	2	0.1275
	3	0.212
	4	0.205
	5	0.18
	6	0.236
	7	0.242
	8	0.244
	9	0.267
	10	0.275
	11	0.186
	12	0.095
1979
	1	0.036
	2	0.124
	3	0.126
	4	0.144
	5	0.184
	6	0.236
	7	0.249
	8	0.31
	9	0.296
	10	0.372
	11	0.203
	12	0.016
1980
	1	0.0
	2	0.043
	3	0.13
	4	0.161
	5	0.251
	6	0.248
	7	0.286
	8	0.289
	9	0.365
	10	0.307
	11	0.336
	12	0.162
1981
	1	0.064
	2	0.073
	3	0.05
	4	0.268
	5	0.184
	6	0.236
	7	0.2895
	8	0.311
	9	0.315
	10	0.28500000000000003
	11	0.187
	12	0.139
1982
	1	0.0955
	2	0.1275
	3	0.167
	4	0.177
	5	0.199
	6	0.236
	7	0.2895
	8	0.311
	9	0.315
	10	0.28500000000000003
	11	0.187
	12	0.139
1983
	1	0.0955
	2	0.1275
	3	0.174
	4	0.167
	5	0.198
	6	0.223
	7	0.349
	8	0.278
	9	0.245
	10	0.211
	11	0.1485
	12	0.086
1984
	1	0.084
	2	0.131
	3	0.14
	4	0.184
	5	0.27
	6	0.292
	7	0.171
	8	0.311
	9	0.315
	10	0.29
	11	0.20099999999999998
	12	0.112
1985
	1	0.017
	2	0.147
	3	0.188
	4	0.142
	5	0.128
	6	0.251
	7	0.324
	8	0.397
	9	0.399
	10	0.207
	11	0.144
	12	0.15
1986
	1	0.082
	2	0.113
	3	0.222
	4	0.175
	5	0.177
	6	0.18
	7	0.2505
	8	0.321
	9	0.271
	10	0.225
	11	0.254
	12	0.153
1987
	1	0.074
	2	0.047
	3	0.078
	4	0.153
	5	0.153
	6	0.3055
	7	0.458
	8	0.302
	9	0.383
	10	0.225
	11	0.175
	12	0.193
1988
	1	0.15
	2	0.091
	3	0.138
	4	0.113
	5	0.178
	6	0.236
	7	0.264
	8	0.311
	9	0.27
	10	0.324
	11	0.096
	12	-0.011
1989
	1	0.044
	2	0.03
	3	0.151
	4	0.169
	5	0.191
	6	0.206
	7	0.311
	8	0.358
	9	0.315
	10	0.231
	11	0.107
	12	0.073
1990
	1	0.101
	2	0.055
	3	0.1
	4	0.175
	5	0.181
	6	0.258
	7	0.285
	8	0.311
	9	0.315
	10	0.28500000000000003
	11	0.133
	12	0.083
1991
	1	0.008
	2	0.18
	3	0.106
	4	0.103
	5	0.161
	6	0.249
	7	0.2895
	8	0.311
	9	0.315
	10	0.28500000000000003
	11	0.187
	12	0.139
1992
	1	0.0955
	2	0.1275
	3	0.167
	4	0.177
	5	0.199
	6	0.236
	7	0.2895
	8	0.295
	9	0.345
	10	0.277
	11	0.109
	12	0.15
1993
	1	0.085
	2	0.06
	3	0.096
	4	0.138
	5	0.134
	6	0.112
	7	0.094
	8	0.208
	9	0.263
	10	0.158
	11	0.051
	12	0.117
1994
	1	0.099
	2	0.1395
	3	0.18
	4	0.246
	5	0.211
	6	0.207
	7	0.288
	8	0.276
	9	0.156
	10	0.11449999999999999
	11	0.073
	12	0.028
1995
	1	0.078
	2	0.075
	3	0.083
	4	0.125
	5	0.2
	6	0.149
	7	0.131
	8	0.227
	9	0.203
	10	0.144
	11	0.171
	12	0.199
1996
	1	0.116
	2	0.065
	3	0.07
	4	0.15
	5	0.175
	6	0.218
	7	0.304
	8	0.183
	9	0.238
	10	0.226
	11	0.08
	12	-0.148
1997
	1	0.003
	2	0.079
	3	0.096
	4	0.095
	5	0.177
	6	0.23
	7	0.238
	8	0.274
	9	0.237
	10	0.164
	11	0.117
	12	0.137
1998
	1	0.088
	2	0.064
	3	0.105
	4	0.108
	5	0.18
	6	0.219
	7	0.213
	8	0.251
	9	0.241
	10	0.209
	11	0.241
	12	0.205
1999
	1	0.145
	2	0.1
	3	0.185
	4	0.193
	5	0.17
	6	0.211
	7	0.236
	8	0.31
	9	0.271
	10	0.32
	11	0.197
	12	0.159
2000
	1	0.137
	2	0.141
	3	0.227
	4	0.171
	5	0.185
	6	0.21
	7	0.276
	8	0.291
	9	0.271
	10	0.281
	11	0.187
	12	0.1
2001
	1	0.06
	2	0.036
	3	0.166
	4	0.284
	5	0.263
	6	0.328
	7	0.396
	8	0.419
	9	0.43
	10	0.307
	11	0.247
	12	0.129
2002
	1	0.123
	2	0.145
	3	0.145
	4	0.135
	5	0.148
	6	0.162
	7	0.258
	8	0.245
	9	0.186
	10	0.16
	11	0.134
	12	0.097
2003
	1	-0.007
	2	0.169
	3	0.149
	4	0.2
	5	0.184
	6	0.213
	7	0.215
	8	0.375
	9	0.373
	10	0.308
	11	0.238
	12	0.161
2004
	1	0.061
	2	0.072
	3	0.185
	4	0.169
	5	0.255
	6	0.302
	7	0.308
	8	0.317
	9	0.274
	10	0.3
	11	0.158
	12	-0.125
2005
	1	0.051
	2	0.072
	3	0.035
	4	0.149
	5	0.174
	6	0.191
	7	0.293
	8	0.3
	9	0.325
	10	0.268
	11	0.253
	12	0.145
2006
	1	0.143
	2	0.181
	3	0.171
	4	0.241
	5	0.241
	6	0.218
	7	0.255
	8	0.256
	9	0.224
	10	0.223
	11	0.167
	12	0.128
2007
	1	0.066
	2	0.07
	3	0.188
	4	0.177
	5	0.227
	6	0.246
	7	0.277
	8	0.389
	9	0.36
	10	0.275
	11	0.274
	12	0.191
2008
	1	0.072
	2	0.044
	3	0.054
	4	0.155
	5	0.22
	6	0.171
	7	0.209
	8	0.232
	9	0.208
	10	0.105
	11	0.139
	12	0.094
2009
	1	0.22
	2	0.217
	3	0.237
	4	0.296
	5	0.312
	6	0.404
	7	0.377
	8	0.496
	9	0.401
	10	0.338
	11	0.205
	12	0.133
2010
	1	0.092
	2	0.136
	3	0.158
	4	0.187
	5	0.228
	6	0.235
	7	0.291
	8	0.356
	9	0.305
	10	0.327
	11	0.236
	12	0.171
2011
	1	0.109
	2	0.174
	3	0.168
	4	0.158
	5	0.251
	6	0.277
	7	0.359
	8	0.357
	9	0.311
	10	0.263
	11	0.185
	12	0.125
2012
	1	0.087
	2	0.176
	3	0.256
	4	0.208
	5	0.274
	6	0.293
	7	0.301
	8	0.346
	9	0.353
	10	0.297
	11	0.16
	12	0.139
2013
	1	0.105
	2	0.081
	3	0.124
	4	0.217
	5	0.186
	6	0.189
	7	0.247
	8	0.301
	9	0.339
	10	0.34
	11	0.16
	12	0.177
2014
	1	0.212
	2	0.257
	3	0.229
	4	0.309
	5	0.284
	6	0.369
	7	0.408
	8	0.376
	9	0.377
	10	0.413
	11	0.326
	12	0.235
2015
	1	0.0955
	2	0.1275
	3	0.167
	4	0.25
	5	0.274
	6	0.298
	7	0.405
	8	0.451
	9	0.399
	10	0.349
	11	0.246
	12	0.215
2016
	1	0.252
	2	0.217
	3	0.2695
	4	0.322
	5	0.347
	6	0.308
	7	0.35
	8	0.444
	9	0.48
	10	0.343
	11	0.315
	12	0.235
2017
	1	0.15
	2	0.242
	3	0.299
	4	0.295
	5	0.234
	6	0.338
	7	0.339
	8	0.395
	9	0.391
	10	0.424
	11	0.269
	12	0.211
2018
	1	0.162
	2	0.159
	3	0.189
	4	0.247
	5	0.232
	6	0.321
	7	0.39
	8	0.428
	9	0.408
	10	0.32
	11	0.229
	12	0.194
2019
	1	0.248
	2	0.208
	3	0.262
	4	0.281
	5	0.329
	6	0.332
	7	0.375
	8	0.366
	9	0.361
	10	0.289
	11	0.281
	12	0.134
2020
	1	0.146
	2	0.195
	3	0.174
	4	0.232
	5	0.274
	6	0.332
	7	0.356
	8	0.371
	9	0.392
	10	0.416
	11	0.292
	12	0.244
2021
	1	0.11
	2	0.083
	3	0.17
	4	0.274
	5	0.261
	6	0.276
	7	0.362
	8	0.337
	9	0.342
	10	0.434
	11	0.514
	12	0.49
2022
	1	0.482
	2	0.474
	3	0.487
	4	0.496
	5	0.476
	6	0.535
	7	0.621
	8	0.618
	9	0.661
	10	0.539
	11	0.422
	12	0.437
2023
	1	0.383
	2	0.437
	3	0.388
	4	0.441
	5	0.199
	6	0.236
	7	0.2895
	8	0.311
	9	0.315
	10	0.28500000000000003
	11	0.187
	12	0.139
2024
	1	0.19598923550161906
