time	level
194601	-0.164
194602	-0.167
194603	-0.128
194604	-0.077
194605	-0.11
194606	-0.082
194607	0.014
194608	0.053
194609	0.006
194610	-0.107
194611	-0.123
194612	-0.251
194701	-0.25
194702	-0.235
194703	-0.258
194704	-0.203
194705	-0.115
194706	-0.04
194707	0.009
194708	0.019
194709	0.029
194710	-0.05
194711	-0.163
194712	-0.237
194801	-0.274
194802	-0.268
194803	-0.244
194804	-0.212
194805	-0.165
194806	-0.028
194807	0.046
194808	0.054
194809	-0.018
194810	-0.116
194811	-0.244
194812	-0.284
194901	-0.28
194902	-0.264
194903	-0.256
194904	-0.189
194905	-0.109
194906	-0.001
194907	0.001
194908	0.108
194909	0.015
194910	-0.039
194911	-0.105
194912	-0.213
195001	-0.183
195002	-0.242
195003	-0.229
195004	-0.117
195005	-0.026
195006	0.008
195007	0.111
195008	0.117
195009	0.074
195010	-0.055
195011	-0.061
195012	-0.298
195101	-0.266
195102	-0.223
195103	-0.229
195104	-0.152
195105	-0.052
195106	0.02
195107	0.023
195108	0.072
195109	0.05
195110	-0.002
195111	-0.197
195112	-0.318
195201	-0.304
195202	-0.255
195203	-0.174
195204	-0.082
195205	-0.057
195206	0.047
195207	0.141
195208	0.128
195209	0.076
195210	-0.092
195211	-0.064
195212	-0.19
195301	-0.258
195302	-0.22
195303	-0.258
195304	-0.187
195305	-0.017
195306	0.083
195307	0.034
195308	0.149
195309	0.097
195310	-0.015
195311	-0.096
195312	-0.173
195401	-0.138
195402	-0.202
195403	-0.199
195404	-0.095
195405	-0.075
195406	0.104
195407	0.116
195408	0.161
195409	0.074
195410	-0.007
195411	-0.101
195412	-0.18
195501	-0.273
195502	-0.182
195503	-0.146
195504	-0.17
195505	-0.037
195506	-0.005
195507	0.07
195508	0.094
195509	0.0195
195510	-0.055
195511	-0.105
195512	-0.155
195601	-0.212
195602	-0.23
195603	-0.221
195604	-0.137
195605	-0.043
195606	0.043
195607	0.114
195608	0.083
195609	0.06
195610	-0.068
195611	-0.15
195612	-0.227
195701	-0.218
195702	-0.213
195703	-0.144
195704	-0.109
195705	-0.004
195706	0.029
195707	0.071
195708	0.12
195709	0.056
195710	-0.101
195711	-0.121
195712	-0.184
195801	-0.254
195802	-0.213
195803	-0.128
195804	-0.139
195805	-0.056
195806	0.052
195807	0.065
195808	0.069
195809	0.093
195810	-0.075
195811	-0.174
195812	-0.184
195901	-0.235
195902	-0.205
195903	-0.206
195904	-0.11
195905	-0.069
195906	0.059
195907	0.094
195908	0.137
195909	0.058
195910	0.067
195911	-0.1
195912	-0.165
196001	-0.162
196002	-0.191
196003	-0.058
196004	-0.104
196005	-0.027
196006	0.103
196007	0.089
196008	0.196
196009	0.064
196010	0.011
196011	-0.073
196012	-0.144
196101	-0.164
196102	-0.141
196103	-0.102
196104	-0.059
196105	-0.041
196106	0.063
196107	0.111
196108	0.152
196109	0.153
196110	0.065
196111	-0.051
196112	-0.131
196201	-0.177
196202	-0.219
196203	-0.194
196204	-0.117
196205	-0.041
196206	0.058
196207	0.129
196208	0.11
196209	0.056
196210	-0.017
196211	-0.059
196212	-0.176
196301	-0.195
196302	-0.276
196303	-0.176
196304	-0.13
196305	-0.053
196306	0.017
196307	0.023
196308	0.056
196309	0.075
196310	-0.052
196311	-0.088
196312	-0.19
196401	-0.142
196402	-0.191
196403	-0.186
196404	-0.124
196405	-0.021
196406	0.055
196407	0.064
196408	0.162
196409	0.094
196410	-0.003
196411	-0.148
196412	-0.183
196501	-0.189
196502	-0.19
196503	-0.174
196504	-0.131
196505	-0.065
196506	0.024
196507	0.085
196508	0.096
196509	0.103
196510	-0.025
196511	-0.076
196512	-0.133
196601	-0.217
196602	-0.14
196603	-0.082
196604	-0.04
196605	-0.026
196606	0.077
196607	0.081
196608	0.076
196609	0.119
196610	-0.001
196611	-0.127
196612	-0.206
196701	-0.226
196702	-0.203
196703	-0.19
196704	-0.1
196705	-0.022
196706	0.093
196707	0.168
196708	0.153
196709	0.146
196710	0.016
196711	-0.112
196712	-0.18
196801	-0.185
196802	-0.222
196803	-0.236
196804	-0.198
