time	level
199901	0.206
199902	0.1315
199903	0.157
199904	0.227
199905	0.189
199906	0.201
199907	0.274
199908	0.293
199909	0.273
199910	0.302
199911	0.224
199912	0.062
200001	0.034
200002	0.098
200003	0.157
200004	0.142
200005	0.187
200006	0.216
200007	0.329
200008	0.308
200009	0.279
200010	0.3215
200011	0.23399999999999999
200012	-0.02
200101	0.13
200102	0.159
200103	0.164
200104	0.192
200105	0.208
200106	0.249
200107	0.327
200108	0.315
200109	0.365
200110	0.3215
200111	0.23399999999999999
200112	0.139
200201	0.068
200202	0.097
200203	0.157
200204	0.227
200205	0.243
200206	0.248
200207	0.356
200208	0.355
200209	0.295
200210	0.257
200211	0.21
200212	0.165
200301	0.053
200302	0.143
200303	0.126
200304	0.18
200305	0.189
200306	0.218
200307	0.253
200308	0.394
200309	0.388
200310	0.325
200311	0.21
200312	0.12
200401	0.024
200402	0.041
200403	0.166
200404	0.195
200405	0.267
200406	0.326
200407	0.354
200408	0.359
200409	0.288
200410	0.299
200411	0.186
200412	0.065
200501	0.052
200502	0.078
200503	0.047
200504	0.182
200505	0.238
200506	0.296
200507	0.317
200508	0.331
200509	0.367
200510	0.272
200511	0.252
200512	0.075
200601	0.111
200602	0.164
200603	0.134
200604	0.246
200605	0.27
200606	0.314
200607	0.358
200608	0.36
200609	0.319
200610	0.312
200611	0.22699999999999998
200612	0.142
200701	-0.004
200702	0.04
200703	0.155
200704	0.142
200705	0.19
200706	0.216
200707	0.246
200708	0.356
200709	0.326
200710	0.225
200711	0.204
200712	0.094
200801	0.123
200802	0.062
200803	0.125
200804	0.24
200805	0.328
200806	0.313
200807	0.33
200808	0.346
200809	0.303
200810	0.217
200811	0.198
200812	0.154
200901	0.065
200902	0.099
200903	0.093
200904	0.188
200905	0.249
200906	0.324
200907	0.304
200908	0.388
200909	0.418
200910	0.306
200911	0.176
200912	0.1
201001	0.048
201002	0.092
201003	0.123
201004	0.156
201005	0.223
201006	0.241
201007	0.307
201008	0.386
201009	0.365
201010	0.346
201011	0.252
201012	0.175
201101	0.063
201102	0.124
201103	0.137
201104	0.149
201105	0.225
201106	0.3
201107	0.362
201108	0.399
201109	0.37
201110	0.322
201111	0.241
201112	0.139
201201	0.065
201202	0.138
201203	0.238
201204	0.229
201205	0.271
201206	0.301
201207	0.317
201208	0.336
201209	0.32
201210	0.321
201211	0.173
201212	0.113
201301	0.062
201302	0.062
201303	0.118
201304	0.216
201305	0.233
201306	0.23
201307	0.289
201308	0.354
201309	0.334
201310	0.289
201311	0.135
201312	0.073
201401	0.11
201402	0.15
201403	0.138
201404	0.227
201405	0.235
201406	0.315
201407	0.358
201408	0.333
201409	0.343
201410	0.341
201411	0.246
201412	0.131
201501	0.086
201502	0.127
201503	0.152
201504	0.178
201505	0.246
201506	0.292
201507	0.379
201508	0.427
201509	0.36
201510	0.322
201511	0.201
201512	0.145
201601	0.146
201602	0.127
201603	0.187
201604	0.297
201605	0.352
201606	0.286
201607	0.332
201608	0.417
201609	0.419
201610	0.364
201611	0.328
201612	0.219
201701	0.127
201702	0.207
201703	0.272
201704	0.297
201705	0.267
201706	0.358
201707	0.38
201708	0.434
201709	0.439
201710	0.45
201711	0.289
201712	0.201
201801	0.139
201802	0.141
201803	0.224
201804	0.259
201805	0.291
201806	0.355
201807	0.453
201808	0.49
201809	0.437
201810	0.336
201811	0.311
201812	0.286
201901	0.269
201902	0.223
201903	0.287
201904	0.304
201905	0.395
201906	0.425
201907	0.499
201908	0.436
201909	0.44
201910	0.32
201911	0.275
201912	0.125
202001	0.157
202002	0.213
202003	0.217
202004	0.25
202005	0.341
202006	0.409
202007	0.433
202008	0.445
202009	0.444
202010	0.473
202011	0.355
202012	0.234
202101	0.146
202102	0.136
202103	0.209
202104	0.331
202105	0.368
202106	0.379
202107	0.455
202108	0.436
202109	0.436
202110	0.418
202111	0.328
202112	0.296
202201	0.267
202202	0.246
202203	0.299
202204	0.329
202205	0.314
202206	0.406
202207	0.485
202208	0.498
202209	0.489
202210	0.395
202211	0.268
202212	0.24
202301	0.194
202302	0.254
202303	0.216
202304	0.294
202305	0.2475
202306	0.3005
202307	0.34299999999999997
202308	0.373
202309	0.365
202310	0.3215
202311	0.23399999999999999
202312	0.139
