time	level
199301	0.035
199302	0.034
199303	0.0
199304	0.027
199305	0.051
199306	0.027
199307	0.103
199308	0.133
199309	0.091
199310	0.061
199311	0.007
199312	-0.017
199401	0.056
199402	0.037
199403	0.012
199404	0.076
199405	0.094
199406	0.076
199407	0.127
199408	0.183
199409	0.144
199410	0.143
199411	0.006
199412	-0.017
199501	-0.033
199502	0.034
199503	-0.004
199504	0.044
199505	0.075
199506	0.079
199507	0.025
199508	0.05
199509	0.109
199510	0.086
199511	-0.015
199512	-0.008
199601	0.042
199602	0.002
199603	-0.047
199604	0.007
199605	0.109
199606	0.07
199607	0.141
199608	0.112
199609	0.16
199610	0.148
199611	0.054
199612	0.046
199701	0.035
199702	0.034
199703	-0.06
199704	-0.072
199705	-0.014
199706	0.077
199707	0.098
199708	0.162
199709	0.159
199710	0.048
199711	0.108
199712	0.046
199801	-0.078
199802	-0.081
199803	-0.044
199804	-0.048
199805	0.006
199806	0.129
199807	0.125
199808	0.115
199809	0.162
199810	0.101
199811	0.108
199812	0.046
199901	0.042
199902	-0.071
199903	0.042
199904	0.013
199905	0.027
199906	0.035
199907	0.102
199908	0.104
199909	0.098
199910	0.074
199911	0.085
199912	-0.051
200001	-0.011
200002	-0.021
200003	-0.001
200004	-0.011
200005	0.012
200006	0.015
200007	0.068
200008	0.118
200009	0.167
200010	0.0655
200011	-0.036
200012	-0.033
200101	0.035
200102	0.02
200103	0.014
200104	0.026
200105	0.051
200106	0.076
200107	0.139
200108	0.128
200109	0.202
200110	0.185
200111	0.108
200112	0.046
200201	-0.06
200202	-0.086
200203	-0.088
200204	-0.039
200205	0.038
200206	0.086
200207	0.178
200208	0.143
200209	0.178
200210	0.1
200211	0.016
200212	0.041
200301	-0.098
200302	-0.028
200303	-0.022
200304	0.003
200305	0.07
200306	0.104
200307	0.1
200308	0.206
200309	0.289
200310	0.224
200311	0.131
200312	0.051
200401	0.0
200402	-0.059
200403	0.028
200404	0.062
200405	0.078
200406	0.129
200407	0.184
200408	0.353
200409	0.175
200410	0.185
200411	0.089
200412	0.066
200501	0.019
200502	0.073
200503	0.003
200504	0.069
200505	0.122
200506	0.12
200507	0.184
200508	0.234
200509	0.24
200510	0.201
200511	0.137
200512	0.09
200601	0.119
200602	0.089
200603	0.077
200604	0.124
200605	0.117
200606	0.176
200607	0.236
200608	0.264
200609	0.275
200610	0.216
200611	0.113
200612	0.073
200701	0.005
200702	-0.019
200703	0.08
200704	0.049
200705	0.065
200706	0.129
200707	0.125
200708	0.234
200709	0.256
200710	0.139
200711	0.132
200712	0.035
200801	0.048
200802	0.081
200803	0.063
200804	0.12
200805	0.22
200806	0.177
200807	0.189
200808	0.202
200809	0.217
200810	0.138
200811	0.084
200812	0.035
200901	-0.004
200902	-0.013
200903	0.01
200904	0.118
200905	0.134
200906	0.159
200907	0.127
200908	0.228
200909	0.211
200910	0.184
200911	0.109
200912	0.016
201001	-0.037
201002	0.026
201003	-0.003
201004	0.015
201005	0.05
201006	0.083
201007	0.119
201008	0.176
201009	0.142
201010	0.199
201011	0.129
201012	0.084
201101	0.0
201102	0.005
201103	-0.01
201104	0.004
201105	0.048
201106	0.05
201107	0.124
201108	0.218
201109	0.208
201110	0.15
201111	0.066
201112	0.027
201201	0.04
201202	0.041
201203	0.097
201204	0.087
201205	0.185
201206	0.21
201207	0.193
201208	0.244
201209	0.204
201210	0.253
201211	0.133
201212	0.087
201301	0.034
201302	-0.003
201303	0.05
201304	0.08
201305	0.13
201306	0.119
201307	0.106
201308	0.165
201309	0.202
201310	0.268
201311	0.064
201312	-0.005
201401	-0.028
201402	0.046
201403	0.029
201404	0.084
201405	0.073
201406	0.148
201407	0.159
201408	0.168
201409	0.157
201410	0.202
201411	0.059
201412	-0.006
201501	-0.031
201502	-0.036
201503	-0.003
201504	0.026
201505	0.048
201506	0.082
201507	0.175
201508	0.233
201509	0.172
201510	0.123
201511	0.093
201512	0.077
201601	0.062
201602	0.039
201603	0.026
201604	0.116
201605	0.181
201606	0.122
201607	0.101
201608	0.235
201609	0.307
201610	0.21
201611	0.168
201612	0.069
201701	0.065
201702	0.083
201703	0.102
201704	0.125
201705	0.04
201706	0.154
201707	0.156
201708	0.184
201709	0.131
201710	0.284
201711	0.108
201712	0.002
201801	0.05
201802	0.049
201803	0.071
201804	0.073
201805	0.158
201806	0.18
201807	0.238
201808	0.339
201809	0.328
201810	0.186
201811	0.147
201812	0.157
201901	0.15
201902	0.155
201903	0.166
201904	0.131
201905	0.156
201906	0.168
201907	0.249
201908	0.286
201909	0.322
201910	0.215
201911	0.141
201912	0.095
202001	0.117
202002	0.088
202003	0.098
202004	0.1
202005	0.162
202006	0.196
202007	0.191
202008	0.239
202009	0.287
202010	0.256
202011	0.179
202012	0.185
202101	0.111
202102	0.077
202103	0.096
202104	0.142
202105	0.151
202106	0.214
202107	0.298
202108	0.25
202109	0.256
202110	0.26
202111	0.115
202112	0.08
202201	0.159
202202	0.17
202203	0.152
202204	0.134
202205	0.151
202206	0.223
202207	0.236
202208	0.222
202209	0.344
202210	0.264
202211	0.174
202212	0.165
202301	0.149
202302	0.171
202303	0.148
202304	0.17
202305	0.0765
202306	0.121
202307	0.14
202308	0.20400000000000001
202309	0.202
202310	0.185
202311	0.108
202312	0.046
