time	level
197601	-0.095
197602	-0.077
197603	-0.042
197604	0.016
197605	0.065
197606	0.131
197607	0.17099999999999999
197608	0.088
197609	0.242
197610	0.021
197611	-0.064
197612	-0.234
197701	-0.17
197702	-0.081
197703	-0.081
197704	-0.098
197705	0.006
197706	0.089
197707	0.113
197708	0.049
197709	0.184
197710	0.159
197711	0.021
197712	0.079
197801	0.051
197802	-0.013
197803	0.004
197804	0.017
197805	-0.067
197806	-0.001
197807	0.025
197808	0.034
197809	-0.027
197810	-0.012
197811	-0.068
197812	-0.294
197901	-0.246
197902	-0.199
197903	-0.114
197904	0.036
197905	0.024
197906	0.111
197907	0.199
197908	0.192
197909	0.103
197910	0.048
197911	-0.105
197912	-0.265
198001	-0.225
198002	-0.288
198003	-0.36
198004	0.135
198005	-0.022
198006	0.029
198007	0.134
198008	0.243
198009	0.173
198010	0.065
198011	-0.276
198012	-0.208
198101	-0.095
198102	-0.077
198103	-0.042
198104	0.016
198105	0.065
198106	-0.112
198107	-0.009
198108	0.043
198109	-0.055
198110	-0.055
198111	-0.143
198112	-0.308
198201	-0.139
198202	-0.13
198203	-0.043
198204	-0.115
198205	0.105
198206	-0.009
198207	-0.019
198208	0.053
198209	0.07
198210	-0.017
198211	-0.135
198212	-0.172
198301	-0.261
198302	-0.167
198303	-0.1
198304	-0.126
198305	-0.089
198306	0.081
198307	0.072
198308	0.047
198309	-0.037
198310	0.007
198311	-0.135
198312	0.057
198401	-0.02
198402	-0.077
198403	-0.042
198404	-0.051
198405	-0.01
198406	0.099
198407	0.061
198408	-0.002
198409	-0.048
198410	-0.022
198411	-0.085
198412	-0.053000000000000005
198501	-0.021
198502	0.091
198503	-0.041
198504	0.016
198505	0.02
198506	-0.093
198507	0.057
198508	0.157
198509	0.034
198510	-0.068
198511	-0.101
198512	-0.191
198601	-0.095
198602	-0.077
198603	-0.042
198604	0.016
198605	0.039
198606	0.013
198607	0.059
198608	0.068
198609	0.19
198610	0.0995
198611	0.085
198612	0.067
198701	0.022
198702	-0.037
198703	-0.042
198704	-0.082
198705	-0.044
198706	0.082
198707	0.091
198708	0.07
198709	0.025
198710	0.047
198711	-0.095
198712	-0.245
198801	-0.214
198802	-0.058
198803	-0.027
198804	0.044
198805	0.085
198806	0.128
198807	0.061
198808	0.127
198809	0.077
198810	0.181
198811	0.049
198812	0.03
198901	-0.129
198902	-0.019
198903	-0.151
198904	-0.147
198905	0.1
198906	0.143
198907	0.221
198908	0.276
198909	0.105
198910	-0.106
198911	0.031
198912	0.037
199001	0.053
199002	-0.031
199003	-0.162
199004	-0.049
199005	-0.073
199006	0.107
199007	0.173
199008	0.33
199009	0.2
199010	-0.015
199011	-0.048
199012	-0.088
199101	-0.093
199102	-0.091
199103	0.052
199104	0.085
199105	0.057
199106	0.085
199107	0.073
199108	0.192
199109	0.204
199110	0.115
199111	-0.087
199112	-0.106
199201	-0.095
199202	-0.077
199203	-0.042
199204	0.016
199205	0.065
199206	0.115
199207	0.17099999999999999
199208	0.214
199209	0.19
199210	0.213
199211	0.09
199212	0.044
199301	0.007
199302	-0.075
199303	-0.042
199304	0.032
199305	0.001
199306	0.004
199307	0.225
199308	0.267
199309	0.196
199310	0.102
199311	0.101
199312	0.025500000000000002
199401	-0.05
199402	-0.033
199403	-0.032
199404	0.129
199405	0.121
199406	0.151
199407	0.17099999999999999
199408	0.214
199409	-0.022
199410	-0.231
199411	-0.367
199412	-0.11449999999999999
199501	0.138
199502	0.142
199503	0.134
199504	0.016
199505	0.065
199506	0.148
199507	0.155
199508	0.165
199509	0.138
199510	0.067
199511	-0.058
199512	-0.061
199601	-0.052
199602	-0.127
199603	-0.069
199604	-0.022
199605	0.12
199606	0.164
199607	0.262
199608	0.256
199609	0.259
199610	0.15
199611	0.005
199612	-0.141
199701	-0.084
199702	-0.048
199703	0.001
199704	0.023
199705	-0.037
199706	0.064
199707	0.072
199708	0.074
199709	0.24
199710	0.236
199711	0.007
199712	-0.063
199801	-0.095
199802	-0.059
199803	-0.025
199804	0.032
199805	0.098
199806	0.213
199807	0.204
199808	0.224
199809	0.192
199810	0.097
199811	0.021
199812	-0.065
199901	-0.061
199902	-0.131
199903	0.042
199904	0.064
199905	0.06
199906	0.145
199907	0.224
199908	0.251
199909	0.19
199910	0.0995
199911	0.007
199912	-0.063
200001	-0.095
200002	-0.084
200003	-0.02
200004	-0.007
200005	0.065
200006	0.128
200007	0.199
200008	0.216
200009	0.233
200010	0.1
200011	0.008
200012	-0.051
200101	0.021
200102	-0.032
200103	-0.039
200104	0.037
200105	0.09
200106	0.175
200107	0.206
200108	0.253
200109	0.263
200110	0.0995
200111	0.007
200112	-0.059
200201	-0.169
200202	-0.188
200203	-0.136
200204	-0.049
200205	0.065
200206	0.039
200207	0.169
200208	0.151
200209	0.143
200210	0.1
200211	0.0
200212	-0.01
200301	-0.13
200302	-0.055
200303	-0.067
200304	0.0
200305	0.047
200306	0.087
200307	0.12
200308	0.208
200309	0.204
200310	0.121
200311	0.154
200312	0.025
200401	-0.107
200402	-0.148
200403	-0.033
200404	0.009
200405	0.122
200406	0.158
200407	0.206
200408	0.307
200409	0.222
200410	0.14
200411	0.018
200412	-0.032
200501	-0.058
200502	-0.034
200503	-0.164
200504	-0.066
200505	0.061
200506	0.109
200507	0.133
200508	0.224
200509	0.224
200510	0.099
200511	0.035
200512	-0.208
200601	-0.152
200602	-0.148
200603	-0.138
200604	0.003
200605	0.054
200606	0.134
200607	0.167
200608	0.212
200609	0.169
200610	0.108
200611	0.037
200612	-0.062
200701	-0.153
200702	-0.104
200703	0.024
200704	0.041
200705	0.134
200706	0.21
200707	0.253
200708	0.332
200709	0.305
200710	0.128
200711	-0.004
200712	-0.063
200801	-0.09
200802	-0.152
200803	-0.046
200804	0.056
200805	0.173
200806	0.195
200807	0.201
200808	0.214
200809	0.188
200810	0.057
200811	-0.002
200812	-0.066
200901	-0.136
200902	-0.075
200903	-0.1
200904	-0.022
200905	0.083
200906	0.199
200907	0.168
200908	0.247
200909	0.216
200910	0.072
200911	0.017
200912	-0.048
201001	-0.135
201002	-0.025
201003	-0.076
201004	-0.035
201005	0.073
201006	0.099
201007	0.176
201008	0.212
201009	0.204
201010	0.144
201011	0.02
201012	-0.012
201101	-0.154
201102	-0.103
201103	-0.159
201104	-0.068
201105	0.055
201106	0.135
201107	0.191
201108	0.222
201109	0.172
201110	0.062
201111	0.016
201112	-0.082
201201	-0.122
201202	-0.08
201203	0.014
201204	0.054
201205	0.156
201206	0.181
201207	0.2
201208	0.256
201209	0.187
201210	0.136
201211	0.032
201212	-0.055
201301	-0.105
201302	-0.082
201303	-0.05
201304	0.057
201305	0.134
201306	0.127
201307	0.143
201308	0.213
201309	0.138
201310	0.11
201311	-0.089
201312	-0.167
201401	-0.162
201402	-0.055
201403	-0.095
201404	0.015
201405	0.065
201406	0.149
201407	0.16
201408	0.198
201409	0.182
201410	0.101
201411	0.015
201412	-0.089
201501	-0.118
201502	-0.082
201503	-0.08
201504	-0.029
201505	0.087
201506	0.147
201507	0.189
201508	0.232
201509	0.194
201510	0.069
201511	0.006
201512	-0.085
201601	-0.051
201602	-0.082
201603	-0.032
201604	0.093
201605	0.149
201606	0.165
201607	0.147
201608	0.248
201609	0.199
201610	0.145
201611	0.086
201612	-0.02
201701	-0.039
201702	-0.051
201703	0.018
201704	0.055
201705	0.043
201706	0.189
201707	0.222
201708	0.233
201709	0.229
201710	0.2
201711	0.015
201712	-0.108
201801	-0.106
201802	-0.088
201803	-0.035
201804	0.018
201805	0.086
201806	0.164
201807	0.268
201808	0.318
201809	0.241
201810	0.057
201811	-0.005
201812	-0.017
201901	-0.041
201902	-0.04
201903	0.02
201904	0.079
201905	0.075
201906	0.196
201907	0.213
201908	0.234
201909	0.18
201910	0.114
201911	0.064
201912	-0.092
202001	-0.052
202002	-0.077
202003	-0.037
202004	-0.04
202005	0.114
202006	0.195
202007	0.205
202008	0.213
202009	0.232
202010	0.136
202011	0.005
202012	-0.03
202101	-0.132
202102	-0.07
202103	-0.058
202104	0.066
202105	0.217
202106	0.19
202107	0.269
202108	0.249
202109	0.21
202110	0.136
202111	0.015
202112	-0.045
202201	-0.034
202202	0.039
202203	0.045
202204	0.032
202205	0.057
202206	0.194
202207	0.25
202208	0.235
202209	0.258
202210	0.058
202211	0.011
202212	-0.095
202301	-0.094
202302	-0.115
202303	-0.068
202304	0.01
202305	0.065
202306	0.131
202307	0.17099999999999999
202308	0.214
202309	0.19
202310	0.0995
202311	0.007
202312	-0.063
