time	level
194701	0.039
194702	0.045
194703	0.081
194704	0.099
194705	0.1465
194706	0.105
194707	0.139
194708	0.157
194709	0.209
194710	0.224
194711	0.181
194712	0.052
194801	0.044
194802	0.036
194803	0.019
194804	0.021
194805	0.143
194806	0.153
194807	0.163
194808	0.208
194809	0.2
194810	0.172
194811	0.085
194812	-0.021
194901	0.014
194902	-0.009
194903	0.002
194904	0.071
194905	0.121
194906	0.2
194907	0.168
194908	0.242
194909	0.17
194910	0.18
194911	0.079
194912	-0.022
195001	-0.034
195002	-0.006
195003	0.01
195004	0.098
195005	0.145
195006	0.174
195007	0.193
195008	0.174
195009	0.182
195010	0.175
195011	0.149
195012	0.014
195101	-0.019
195102	-0.042
195103	0.018
195104	0.098
195105	0.132
195106	0.176
195107	0.195
195108	0.214
195109	0.234
195110	0.213
195111	0.054
195112	-0.008999999999999998
195201	-0.072
195202	0.019
195203	0.079
195204	0.146
195205	0.096
195206	0.182
195207	0.295
195208	0.293
195209	0.249
195210	0.222
195211	0.156
195212	0.0665
195301	-0.057
195302	0.005
195303	-0.031
195304	0.049
195305	0.138
195306	0.197
195307	0.168
195308	0.244
195309	0.216
195310	0.155
195311	0.134
195312	0.05
195401	0.063
195402	0.05
195403	0.106
195404	0.123
195405	0.098
195406	0.212
195407	0.229
195408	0.278
195409	0.217
195410	0.199
195411	0.12
195412	-0.016
195501	-0.094
195502	-0.04
195503	0.016
195504	-0.028
195505	0.042
195506	0.067
195507	0.135
195508	0.204
195509	0.154
195510	0.142
195511	0.08
195512	0.032
195601	0.039
195602	0.045
195603	0.081
195604	0.099
195605	0.1465
195606	0.186
195607	0.23
195608	0.2685
195609	0.249
195610	0.222
195611	0.156
195612	0.0665
195701	0.039
195702	0.045
195703	0.081
195704	0.099
195705	0.1465
195706	0.186
195707	0.23
195708	0.2685
195709	0.249
195710	0.222
195711	0.156
195712	0.0665
195801	0.039
195802	0.045
195803	0.081
195804	0.099
195805	0.1465
195806	0.186
195807	0.23
195808	0.2685
195809	0.249
195810	0.222
195811	0.156
195812	0.0665
195901	0.039
195902	0.045
195903	0.081
195904	0.099
195905	0.1465
195906	0.186
195907	0.23
195908	0.2685
195909	0.249
195910	0.222
195911	0.156
195912	0.0665
196001	-0.014
196002	-0.047
