time	level
196301	-
196302	-
196303	-0.060
196304	0.012
196305	0.084
196306	0.112
196307	0.149
196308	0.171
196309	0.187
196310	0.132
196311	0.098
196312	-0.026
196401	-0.111
196402	-0.150
196403	-0.108
196404	-
196405	0.084
196406	0.144
196407	-
196408	0.226
196409	0.244
196410	0.128
196411	0.003
196412	-0.162
196501	-
196502	-
196503	-
196504	-
196505	-
196506	-
196507	-
196508	-
196509	-
196510	-
196511	-
196512	-
196601	-
196602	-
196603	-
196604	-
196605	-
196606	-
196607	-
196608	-
196609	-
196610	-
196611	-
196612	-
196701	-
196702	-
196703	-
196704	-
196705	-
196706	-
196707	-
196708	-
196709	-
196710	-
196711	-
196712	-
196801	-
196802	-
196803	-
196804	-
196805	-
196806	-
196807	-
196808	-
196809	-
196810	-
196811	-
196812	-
196901	-
196902	-
196903	-
196904	-
196905	-
196906	-
196907	-
196908	-
196909	-
196910	-
196911	-
196912	-
197001	-
197002	-
197003	-
197004	-
197005	-
197006	-0.082
197007	0.002
197008	0.048
197009	0.101
197010	-0.040
197011	-0.163
197012	-0.252
197101	-0.242
197102	-0.226
197103	-0.173
197104	-0.143
197105	-0.101
197106	0.001
197107	0.081
197108	0.012
197109	-
197110	-0.090
197111	-
197112	-
197201	-0.245
197202	-0.292
197203	-0.128
197204	-0.083
197205	0.005
197206	-
197207	-
197208	-
197209	0.067
197210	-0.123
197211	-
197212	-
197301	-0.259
197302	-0.171
197303	-0.182
197304	-0.074
197305	-
197306	-0.124
197307	0.025
197308	-0.005
197309	-
197310	-
197311	-
197312	-0.189
197401	-0.190
197402	-0.176
197403	-0.038
197404	-
197405	0.113
197406	-
197407	-
197408	0.183
197409	-
197410	0.011
197411	-0.041
197412	-
197501	-0.150
197502	-0.073
197503	-0.026
197504	-0.180
197505	-0.123
197506	-
197507	-
197508	-
197509	-
197510	-0.063
197511	-
197512	-
197601	-0.294
197602	-0.175
197603	-0.146
197604	-0.094
197605	-0.020
197606	0.048
197607	0.085
197608	0.052
197609	-
197610	-0.069
197611	-0.091
197612	-0.260
197701	-0.334
197702	-0.198
197703	-0.162
197704	-0.089
197705	-0.050
197706	0.082
197707	0.084
197708	0.080
197709	0.067
197710	0.017
197711	-0.058
197712	-0.150
197801	-0.226
197802	-0.168
197803	-0.119
197804	-0.089
197805	0.064
197806	0.055
197807	0.091
197808	0.118
197809	0.073
197810	0.062
197811	-0.142
197812	-0.108
197901	-0.184
197902	-0.130
197903	-0.042
197904	-0.064
197905	-0.091
197906	0.042
197907	0.143
197908	0.212
197909	0.094
197910	0.085
197911	-0.079
197912	-0.249
198001	-0.308
198002	-0.226
198003	-0.129
198004	-0.077
198005	0.004
198006	-0.012
198007	0.062
198008	-0.050
198009	0.071
198010	-0.013
198011	-0.054
198012	-0.170
198101	-0.156
198102	-0.075
198103	-
198104	-0.055
198105	-0.090
198106	0.044
198107	0.132
198108	0.174
198109	0.056
198110	0.109
198111	-0.057
198112	-0.143
198201	-0.262
198202	-0.190
198203	-0.143
198204	-0.064
198205	0.012
198206	0.127
198207	0.122
198208	0.026
198209	0.106
198210	0.037
198211	-0.155
198212	-0.154
198301	-0.214
198302	-0.208
198303	-0.094
198304	-0.039
198305	0.013
198306	0.059
198307	0.045
198308	0.129
198309	-
198310	-
198311	-0.004
198312	-0.200
198401	-
198402	-
198403	-
198404	-0.083
198405	-0.056
198406	0.038
198407	-0.004
198408	0.173
198409	-0.034
198410	-0.016
198411	-0.080
198412	-0.264
198501	-0.357
198502	-0.205
198503	-0.227
198504	-0.098
198505	-0.103
198506	0.095
198507	0.107
198508	0.161
198509	0.047
198510	-0.072
198511	-
198512	-0.106
198601	-0.230
198602	-0.227
198603	-0.058
198604	-0.048
198605	0.043
198606	0.062
198607	0.121
198608	0.177
198609	0.103
198610	-0.036
198611	-0.173
198612	-0.188
198701	-0.223
198702	-0.282
198703	-0.211
198704	-0.051
198705	-0.014
198706	0.069
198707	0.112
198708	0.181
198709	0.108
198710	0.008
198711	-0.065
198712	-0.094
198801	-
198802	-0.141
198803	-0.054
198804	-0.095
198805	-0.027
198806	-
198807	0.068
198808	0.105
198809	0.139
198810	0.099
198811	-0.147
198812	-0.208
198901	-0.151
198902	-
198903	-
198904	-
198905	-
198906	-
198907	-
198908	-
198909	-
198910	-
198911	-
198912	-
199001	-0.148
199002	-0.164
199003	-0.087
199004	-0.011
199005	0.015
199006	-0.025
199007	0.176
199008	-
199009	-
199010	-
199011	-
199012	-
199101	-
199102	-
199103	-0.138
199104	-0.084
199105	-
199106	-0.011
199107	-
199108	0.217
199109	0.180
199110	0.120
199111	0.046
199112	-0.114
199201	-0.188
199202	-0.160
199203	-0.074
199204	0.055
199205	0.064
199206	-0.037
199207	0.160
199208	0.207
199209	-0.067
199210	-0.103
199211	-0.117
199212	-0.061
199301	-0.358
199302	-0.058
199303	-0.066
199304	-0.017
199305	0.107
199306	-
199307	-
199308	-
199309	0.062
199310	-0.168
199311	-0.291
199312	-0.182
199401	-0.093
199402	0.008
199403	-
199404	-
199405	0.053
199406	0.096
199407	0.221
199408	0.223
199409	0.174
199410	0.145
199411	0.013
199412	-0.093
199501	-0.142
199502	-0.186
199503	-0.161
199504	0.001
199505	0.132
199506	0.097
199507	0.140
199508	0.190
199509	0.166
199510	0.062
199511	0.018
199512	-0.004
199601	-0.059
199602	-0.110
199603	-0.109
199604	0.050
199605	0.103
199606	0.218
199607	0.310
199608	0.239
199609	0.230
199610	0.212
199611	0.213
199612	-0.192
199701	-0.143
199702	-0.022
199703	-
199704	-0.093
199705	0.009
199706	0.156
199707	0.323
199708	0.275
199709	0.167
199710	0.132
199711	-0.055
199712	-0.065
199801	-0.146
199802	-0.130
199803	-0.045
199804	0.057
199805	0.097
199806	0.269
199807	0.180
199808	0.230
199809	0.207
199810	0.110
199811	-
199812	0.035
199901	0.050
199902	-0.221
199903	-0.080
199904	-0.019
199905	-0.018
199906	0.019
199907	0.172
199908	0.133
199909	0.101
199910	0.128
199911	-0.069
199912	-0.154
200001	-0.148
200002	-0.141
200003	-0.024
200004	0.072
200005	0.078
200006	0.112
200007	-
200008	-
200009	0.031
200010	-0.022
200011	-0.138
200012	-0.207
200101	-0.070
200102	-0.065
200103	-0.043
200104	0.081
200105	0.145
200106	0.267
200107	0.185
200108	0.178
200109	0.282
200110	0.185
200111	-
200112	-
200201	-
200202	-0.063
200203	0.008
200204	-
200205	-0.033
200206	-0.078
200207	-
200208	-
200209	-
200210	-
200211	-
200212	-
200301	-0.303
200302	-0.300
200303	-0.265
200304	-0.119
200305	-0.051
200306	-0.018
200307	0.001
200308	0.149
200309	0.131
200310	0.044
200311	-0.072
200312	-0.168
200401	-0.262
200402	-0.234
200403	-0.108
200404	-0.052
200405	0.039
200406	0.098
200407	0.185
200408	0.172
200409	0.077
200410	0.046
200411	-0.049
200412	-0.183
200501	-0.209
200502	-0.167
200503	-0.205
200504	-0.041
200505	0.038
200506	0.120
200507	0.131
200508	0.145
200509	0.176
200510	0.051
200511	0.030
200512	-0.159
200601	-0.119
200602	-0.067
200603	-0.099
200604	0.061
200605	0.099
200606	0.163
200607	0.220
200608	0.199
200609	0.145
200610	0.121
200611	0.055
200612	-0.046
200701	-0.198
200702	-0.130
