time	level
198101	-0.311
198102	-0.261
198103	-0.288
198104	-0.214
198105	-0.246
198106	-0.158
198107	-0.070
198108	0.032
198109	-0.074
198110	-0.059
198111	-0.149
198112	-0.252
198201	-0.316
198202	-0.252
198203	-0.215
198204	-0.181
198205	-0.142
198206	-0.181
198207	-0.138
198208	-0.089
198209	-0.050
198210	-0.074
198211	-0.193
198212	-0.197
198301	-0.296
198302	-0.194
198303	-0.101
198304	-
198305	-
198306	-
198307	-
198308	-
198309	-
198310	-
198311	-
198312	-
198401	-
198402	-
198403	-
198404	-
198405	-
198406	-
198407	-
198408	-
198409	-0.032
198410	-0.026
198411	-0.084
198412	-0.197
198501	-0.256
198502	-0.125
198503	-0.186
198504	-0.163
198505	-0.068
198506	0.046
198507	0.036
198508	0.111
198509	-0.042
198510	-0.159
198511	-0.175
198512	-0.261
198601	-0.297
198602	-0.270
198603	-0.237
198604	-0.213
198605	-0.133
198606	-0.113
198607	-0.011
198608	0.032
198609	-0.016
198610	-0.105
198611	-0.123
198612	-0.106
198701	-0.139
198702	-0.148
198703	-0.097
198704	-0.061
198705	-0.022
198706	0.005
198707	0.069
198708	0.073
198709	0.079
198710	0.025
198711	-0.023
198712	-0.048
198801	-0.094
198802	-0.164
198803	-0.134
198804	-0.190
198805	-0.187
198806	-0.221
198807	-0.268
198808	0.085
198809	-0.016
198810	-0.029
198811	-0.049
198812	-0.229
198901	-0.176
198902	-0.142
198903	-0.121
198904	-0.066
198905	-0.033
198906	0.058
198907	0.069
198908	0.209
198909	0.105
198910	-0.090
198911	-0.084
198912	-0.095
199001	-0.088
199002	-0.105
199003	-0.176
199004	-0.087
199005	-0.075
199006	0.046
199007	-0.028
199008	0.018
199009	0.049
199010	0.040
199011	-0.039
199012	-0.172
199101	-0.137
199102	-0.086
199103	-0.028
199104	-0.011
199105	-0.036
199106	-
199107	-
199108	-
199109	-
199110	-
199111	-0.138
199112	-0.144
199201	-0.169
199202	-0.164
199203	-0.106
199204	-0.034
199205	-0.005
199206	0.015
199207	0.001
199208	0.108
199209	0.079
199210	0.018
199211	-0.061
199212	-0.150
199301	-
199302	-
199303	-
199304	-
199305	-
199306	-
199307	-
199308	-
199309	-
199310	-
199311	-
199312	-
199401	-
199402	-
199403	-
199404	-
199405	-
199406	-0.124
199407	-0.016
199408	0.060
199409	0.065
199410	0.021
199411	-0.109
199412	-0.143
199501	-0.123
199502	-0.106
199503	-0.092
199504	-0.043
